0.4735332801436116,0.5372916701254042,0.6074949216972584,255,200,0,255,PIK3R1;seed;0
0.21347521771786349,0.5771891977685034,0.6293548608411776,255,200,0,255,NCF1;seed;0
0.6171983308247683,0.570910525939494,0.38671490812396875,255,200,0,255,MALT1;seed;0
0.40450184267005,0.44952331942728846,0.56683780235298,255,200,0,255,STAT3;seed;0
0.4947889202143468,0.518945106589442,0.35596099749415594,255,200,0,255,RIPK1;seed;0
0.522363408669305,0.6195158936681171,0.3316877393585139,255,200,0,255,IKBKG;seed;0
0.532479533628998,0.5524597119435631,0.33808820712613774,255,200,0,255,TNFAIP3;seed;0
0.3531235154137674,0.5597989618585117,0.5545216282755794,255,200,0,255,PTEN;seed;0
0.44567878441730774,0.4988515611123561,0.4219811006754981,255,200,0,255,XIAP;seed;0
0.5036235998465523,0.3503620916624897,0.5439445008702762,255,200,0,255,ARPC1B;seed;0
0.47802784939063564,0.4886474429605817,0.3890984115777736,255,200,0,255,ITCH;seed;0
0.5983583895442234,0.45037911923747526,0.4958330325239175,255,200,0,255,STAT1;seed;0
0.2620768826202511,0.3798660652670272,0.5638870852768914,255,200,0,255,IL2RA;seed;0
0.4811315785685567,0.5569036038143426,0.3536416197117286,204,18,18,255,TAB2;candidate;32
0.3494347808305049,0.5414911573938632,0.40206674531671505,204,18,18,255,UBE2L3;candidate;33
0.5428321747876932,0.31922847890685047,0.4329652786028697,204,18,18,255,NOTCH1;candidate;35
0.4729156865683239,0.5755441415237132,0.26747330095274974,204,18,18,255,NOD2;candidate;36
0.46350389299998296,0.4516726413152296,0.5351115383710905,204,18,18,255,STAT5A;candidate;37
0.49731008210714156,0.47328333600812933,0.40389455853404355,204,18,18,255,TNF;candidate;38
0.6113085532062418,0.40798967176060535,0.415790002363306,204,18,18,255,TMEM17;candidate;40
0.5152991739664327,0.5729486182123115,0.6502651444381424,204,18,18,255,PTK2B;candidate;41
0.746809609416225,0.5222156557011637,0.5033017680122795,204,18,18,255,RTF1;candidate;42
0.5301279738630041,0.4186480799032438,0.4539427801408418,204,18,18,255,LRRK2;candidate;49
0.2573307857954754,0.513869621731261,0.6094370101208252,204,18,18,255,PLA2G4A;candidate;53
0.5199906445314256,0.35206867771641726,0.5496500411727712,204,18,18,255,ARPC2;candidate;54
0.676967784088555,0.48234038468043405,0.4714115786583638,204,18,18,255,CAMK2G;candidate;57
0.5134189434636941,0.385289081446642,0.4733371146234038,204,18,18,255,PTPN2;candidate;58
0.38112911898252627,0.5351471810659376,0.44882442868608713,204,18,18,255,NDFIP1;candidate;60
0.42704526408500815,0.515494702541505,0.551120244572041,204,18,18,255,INPP5D;candidate;61
0.45114442122364695,0.31204138812484195,0.4453382621336025,204,18,18,255,GNA12;candidate;64
0.2438709489586992,0.6282732977253792,0.703916958460194,204,18,18,255,MAGI3;candidate;70
0.38930199373227664,0.5599665876476353,0.3392623135151379,204,18,18,255,SMAD7;candidate;71
0.7323179900546585,0.4306456387586367,0.392399057878396,204,18,18,255,HLA-DRB5;candidate;72
0.6844504887153897,0.41254812875339697,0.5150560475980579,204,18,18,255,APEH;candidate;75
0.4464271455076627,0.5892976259689988,0.4031923864412756,204,18,18,255,LITAF;candidate;76
0.2796287528629595,0.6275284077597313,0.5770687171848711,204,18,18,255,PARK7;candidate;80
0.25845095546026453,0.6029206204602813,0.555471645819999,204,18,18,255,OTUD3;candidate;81
0.5373120837510222,0.6703308570363218,0.5297496641971963,204,18,18,255,LPXN;candidate;83
0.3190709709848128,0.39090158439071193,0.5537378333209145,204,18,18,255,IL23R;candidate;91
0.30415432298407963,0.4255142895039025,0.5722637761999916,204,18,18,255,SH2B1;candidate;92
0.32049022845395936,0.4158128488915986,0.619868388318576,204,18,18,255,NFKBIZ;candidate;93
0.326479578830411,0.3839115291905117,0.5968288856641598,204,18,18,255,STAT4;candidate;94
0.7837376132208724,0.5179199447926107,0.5007489694640207,204,18,18,255,CREM;candidate;108
0.7720964449888936,0.4511405935893498,0.49923616535289944,204,18,18,255,ADCY3;candidate;128
0.7664123047269671,0.4760311781955102,0.5202012341937433,204,18,18,255,CAMK2A;candidate;129
0.520147127166721,0.2532199053808145,0.38208256529048445,204,18,18,255,TNFSF8;candidate;131
