0.670485,0.843575,0.820766,255,0,0,255,1026;Beijing
0.171305,0.513497,0.876533,255,0,0,255,3;Paris
0.692856,0.148558,0.798823,255,0,0,255,1;California
0.810012,0.762361,0.791649,255,0,0,255,3;Tokyo
0.623882,0.916910,0.746657,255,0,0,255,70;Chongqing
0.696110,0.853791,0.793893,255,0,0,255,45;Shandong
0.594216,0.943251,0.711309,255,0,0,255,15;Yunnan
0.649587,0.870241,0.800908,255,0,0,255,13;Shanxi
0.670339,0.849247,0.814660,255,0,0,255,13;Hebei
0.705979,0.763641,0.871572,255,0,0,255,16;Heilongjiang
0.593245,0.920603,0.753769,255,0,0,255,42;Sichuan
0.692503,0.877808,0.764960,255,0,0,255,60;Anhui
0.665451,0.909300,0.734733,255,0,0,255,68;Hunan
0.718655,0.878721,0.742405,255,0,0,255,99;Zhejiang
0.668600,0.878682,0.779596,255,0,0,255,82;Henan
0.681115,0.922614,0.696456,255,0,0,255,94;Guangdong
0.601189,0.988881,0.527490,255,0,0,255,4;Kuala Lumpur
0.723190,0.864655,0.759255,255,0,0,255,34;Shanghai
0.714848,0.795909,0.840996,255,0,0,255,4;Jilin
0.648711,0.931887,0.703368,255,0,0,255,36;Guangxi
0.658396,0.944828,0.664433,255,0,0,255,21;Hainan
0.631695,0.882470,0.793893,255,0,0,255,22;Shaanxi
0.708908,0.895509,0.723450,255,0,0,255,35;Fujian
0.650026,0.831885,0.842555,255,0,0,255,7;Inner Mongolia
0.693529,0.896794,0.734736,255,0,0,255,46;Jiangxi
0.463887,0.941188,0.732485,255,0,0,255,1;Kathmandu
0.685005,0.924448,0.688725,255,0,0,255,6;Macau
0.709668,0.863155,0.772320,255,0,0,255,33;Jiangsu
0.630253,0.926037,0.726995,255,0,0,255,5;Guizhou
0.681498,0.960760,0.431021,255,0,0,255,3;Ninxia Hui
0.677293,0.845005,0.815498,255,0,0,255,12;Tianjin
0.619394,0.985391,0.511842,255,0,0,255,4;Singapore
0.738181,0.816778,0.804831,255,0,0,255,2;Seoul
0.581918,0.885395,0.807831,255,0,0,255,5;Gansu
0.705508,0.816503,0.828013,255,0,0,255,22;Liaoning
0.481568,0.872529,0.832990,255,0,0,255,4;Xinjiang
0.542259,0.905331,0.789691,255,0,0,255,4;Qinghai
0.610067,0.883849,0.800908,255,0,0,255,1;Ningxia
0.737131,0.885995,0.711606,255,0,0,255,3;Taipei
0.588447,0.977540,0.618879,255,0,0,255,6;Bangkok
0.652972,0.116827,0.782450,255,0,0,255,1;Arizona
0.412703,0.120769,0.813947,255,0,0,255,1;Washington D.C.
0.484568,0.128022,0.833758,255,0,0,255,1;Chicago
0.627496,0.948945,0.679423,255,0,0,255,2;Hanoi
0.850164,0.709560,0.211088,255,0,0,255,5;Canberra
0.666355,0.894239,0.758653,255,0,0,255,1151;Hubei
0.626136,0.973324,0.600268,255,0,0,255,1;Phnom Penh
0.413259,0.159943,0.856142,255,0,0,255,1;Ottawa
0.689388,0.922136,0.689561,255,0,0,255,8;Hong Kong
0.670485,0.843575,0.820766,255,0,0,255,1038;Beijing
0.171305,0.513497,0.876533,255,0,0,255,3;Paris
0.204007,0.570455,0.896767,255,0,0,255,1;Berlin
0.692856,0.148558,0.798823,255,0,0,255,1;California
0.810012,0.762361,0.791649,255,0,0,255,3;Tokyo
0.623882,0.916910,0.746657,255,0,0,255,105;Chongqing
0.696110,0.853791,0.793893,255,0,0,255,74;Shandong
0.594216,0.943251,0.711309,255,0,0,255,25;Yunnan
0.649587,0.870241,0.800908,255,0,0,255,20;Shanxi
0.670339,0.849247,0.814660,255,0,0,255,18;Hebei
0.705979,0.763641,0.871572,255,0,0,255,21;Heilongjiang
0.593245,0.920603,0.753769,255,0,0,255,67;Sichuan
0.692503,0.877808,0.764960,255,0,0,255,70;Anhui
0.665451,0.909300,0.734733,255,0,0,255,99;Hunan
0.718655,0.878721,0.742405,255,0,0,255,123;Zhejiang
0.668600,0.878682,0.779596,255,0,0,255,127;Henan
0.681115,0.922614,0.696456,255,0,0,255,134;Guangdong
0.601189,0.988881,0.527490,255,0,0,255,4;Kuala Lumpur
0.723190,0.864655,0.759255,255,0,0,255,47;Shanghai
0.714848,0.795909,0.840996,255,0,0,255,6;Jilin
0.648711,0.931887,0.703368,255,0,0,255,46;Guangxi
0.658396,0.944828,0.664433,255,0,0,255,32;Hainan
0.631695,0.882470,0.793893,255,0,0,255,35;Shaanxi
0.708908,0.895509,0.723450,255,0,0,255,59;Fujian
0.650026,0.831885,0.842555,255,0,0,255,11;Inner Mongolia
0.693529,0.896794,0.734736,255,0,0,255,70;Jiangxi
0.463887,0.941188,0.732485,255,0,0,255,1;Kathmandu
0.685005,0.924448,0.688725,255,0,0,255,7;Macau
0.709668,0.863155,0.772320,255,0,0,255,47;Jiangsu
0.630253,0.926037,0.726995,255,0,0,255,7;Guizhou
0.681498,0.960760,0.431021,255,0,0,255,3;Ninxia Hui
0.677293,0.845005,0.815498,255,0,0,255,21;Tianjin
0.619394,0.985391,0.511842,255,0,0,255,5;Singapore
0.738181,0.816778,0.804831,255,0,0,255,3;Seoul
0.581918,0.885395,0.807831,255,0,0,255,12;Gansu
0.705508,0.816503,0.828013,255,0,0,255,27;Liaoning
0.481568,0.872529,0.832990,255,0,0,255,5;Xinjiang
0.542259,0.905331,0.789691,255,0,0,255,6;Qinghai
0.412564,0.988580,0.560372,255,0,0,255,1;Colombo
0.610067,0.883849,0.800908,255,0,0,255,4;Ningxia
0.737131,0.885995,0.711606,255,0,0,255,4;Taipei
0.588447,0.977540,0.618879,255,0,0,255,6;Bangkok
0.652972,0.116827,0.782450,255,0,0,255,1;Arizona
0.412703,0.120769,0.813947,255,0,0,255,1;Washington D.C.
0.484568,0.128022,0.833758,255,0,0,255,1;Chicago
0.627496,0.948945,0.679423,255,0,0,255,2;Hanoi
0.850164,0.709560,0.211088,255,0,0,255,5;Canberra
0.666355,0.894239,0.758653,255,0,0,255,3282;Hubei
0.626136,0.973324,0.600268,255,0,0,255,1;Phnom Penh
0.413259,0.159943,0.856142,255,0,0,255,3;Ottawa
0.689388,0.922136,0.689561,255,0,0,255,8;Hong Kong
0.670485,0.843575,0.820766,255,0,0,255,1049;Beijing
0.171305,0.513497,0.876533,255,0,0,255,4;Paris
0.204007,0.570455,0.896767,255,0,0,255,4;Berlin
0.692856,0.148558,0.798823,255,0,0,255,1;California
0.810012,0.762361,0.791649,255,0,0,255,6;Tokyo
0.623882,0.916910,0.746657,255,0,0,255,127;Chongqing
0.696110,0.853791,0.793893,255,0,0,255,94;Shandong
0.594216,0.943251,0.711309,255,0,0,255,43;Yunnan
0.649587,0.870241,0.800908,255,0,0,255,27;Shanxi
0.670339,0.849247,0.814660,255,0,0,255,33;Hebei
0.705979,0.763641,0.871572,255,0,0,255,30;Heilongjiang
0.593245,0.920603,0.753769,255,0,0,255,88;Sichuan
0.692503,0.877808,0.764960,255,0,0,255,106;Anhui
0.665451,0.909300,0.734733,255,0,0,255,142;Hunan
0.718655,0.878721,0.742405,255,0,0,255,168;Zhejiang
0.668600,0.878682,0.779596,255,0,0,255,167;Henan
0.681115,0.922614,0.696456,255,0,0,255,190;Guangdong
0.601189,0.988881,0.527490,255,0,0,255,7;Kuala Lumpur
0.723190,0.864655,0.759255,255,0,0,255,60;Shanghai
0.714848,0.795909,0.840996,255,0,0,255,8;Jilin
0.648711,0.931887,0.703368,255,0,0,255,52;Guangxi
0.658396,0.944828,0.664433,255,0,0,255,39;Hainan
0.631695,0.882470,0.793893,255,0,0,255,46;Shaanxi
0.708908,0.895509,0.723450,255,0,0,255,80;Fujian
0.650026,0.831885,0.842555,255,0,0,255,15;Inner Mongolia
0.693529,0.896794,0.734736,255,0,0,255,107;Jiangxi
0.463887,0.941188,0.732485,255,0,0,255,1;Kathmandu
0.685005,0.924448,0.688725,255,0,0,255,7;Macau
0.709668,0.863155,0.772320,255,0,0,255,70;Jiangsu
0.630253,0.926037,0.726995,255,0,0,255,9;Guizhou
0.681498,0.960760,0.431021,255,0,0,255,3;Ninxia Hui
0.677293,0.845005,0.815498,255,0,0,255,22;Tianjin
0.619394,0.985391,0.511842,255,0,0,255,7;Singapore
0.738181,0.816778,0.804831,255,0,0,255,3;Seoul
0.581918,0.885395,0.807831,255,0,0,255,17;Gansu
0.705508,0.816503,0.828013,255,0,0,255,34;Liaoning
0.481568,0.872529,0.832990,255,0,0,255,10;Xinjiang
0.542259,0.905331,0.789691,255,0,0,255,6;Qinghai
0.412564,0.988580,0.560372,255,0,0,255,1;Colombo
0.610067,0.883849,0.800908,255,0,0,255,8;Ningxia
0.737131,0.885995,0.711606,255,0,0,255,7;Taipei
0.588447,0.977540,0.618879,255,0,0,255,12;Bangkok
0.652972,0.116827,0.782450,255,0,0,255,1;Arizona
0.412703,0.120769,0.813947,255,0,0,255,1;Washington D.C.
0.484568,0.128022,0.833758,255,0,0,255,1;Chicago
0.627496,0.948945,0.679423,255,0,0,255,2;Hanoi
0.850164,0.709560,0.211088,255,0,0,255,7;Canberra
0.666355,0.894239,0.758653,255,0,0,255,4314;Hubei
0.626136,0.973324,0.600268,255,0,0,255,1;Phnom Penh
0.413259,0.159943,0.856142,255,0,0,255,3;Ottawa
0.689388,0.922136,0.689561,255,0,0,255,10;Hong Kong
0.670485,0.843575,0.820766,255,0,0,255,1538;Beijing
0.274465,0.604894,0.933741,255,0,0,255,1;Helsinki
0.171305,0.513497,0.876533,255,0,0,255,5;Paris
0.204007,0.570455,0.896767,255,0,0,255,4;Berlin
0.692856,0.148558,0.798823,255,0,0,255,1;California
0.810012,0.762361,0.791649,255,0,0,255,7;Tokyo
0.623882,0.916910,0.746657,255,0,0,255,160;Chongqing
0.696110,0.853791,0.793893,255,0,0,255,129;Shandong
0.594216,0.943251,0.711309,255,0,0,255,54;Yunnan
0.649587,0.870241,0.800908,255,0,0,255,35;Shanxi
0.670339,0.849247,0.814660,255,0,0,255,48;Hebei
0.705979,0.763641,0.871572,255,0,0,255,37;Heilongjiang
0.593245,0.920603,0.753769,255,0,0,255,642;Sichuan
0.692503,0.877808,0.764960,255,0,0,255,152;Anhui
0.665451,0.909300,0.734733,255,0,0,255,220;Hunan
0.718655,0.878721,0.742405,255,0,0,255,291;Zhejiang
0.668600,0.878682,0.779596,255,0,0,255,205;Henan
0.681115,0.922614,0.696456,255,0,0,255,255;Guangdong
0.601189,0.988881,0.527490,255,0,0,255,7;Kuala Lumpur
0.723190,0.864655,0.759255,255,0,0,255,90;Shanghai
0.714848,0.795909,0.840996,255,0,0,255,9;Jilin
0.648711,0.931887,0.703368,255,0,0,255,59;Guangxi
0.658396,0.944828,0.664433,255,0,0,255,42;Hainan
0.631695,0.882470,0.793893,255,0,0,255,56;Shaanxi
0.708908,0.895509,0.723450,255,0,0,255,84;Fujian
0.650026,0.831885,0.842555,255,0,0,255,16;Inner Mongolia
0.693529,0.896794,0.734736,255,0,0,255,160;Jiangxi
0.463887,0.941188,0.732485,255,0,0,255,1;Kathmandu
0.685005,0.924448,0.688725,255,0,0,255,7;Macau
0.709668,0.863155,0.772320,255,0,0,255,99;Jiangsu
0.630253,0.926037,0.726995,255,0,0,255,9;Guizhou
0.681498,0.960760,0.431021,255,0,0,255,4;Ninxia Hui
0.677293,0.845005,0.815498,255,0,0,255,25;Tianjin
0.619394,0.985391,0.511842,255,0,0,255,10;Singapore
0.738181,0.816778,0.804831,255,0,0,255,3;Seoul
0.581918,0.885395,0.807831,255,0,0,255,22;Gansu
0.705508,0.816503,0.828013,255,0,0,255,39;Liaoning
0.481568,0.872529,0.832990,255,0,0,255,13;Xinjiang
0.542259,0.905331,0.789691,255,0,0,255,6;Qinghai
0.412564,0.988580,0.560372,255,0,0,255,1;Colombo
0.610067,0.883849,0.800908,255,0,0,255,8;Ningxia
0.737131,0.885995,0.711606,255,0,0,255,7;Taipei
0.588447,0.977540,0.618879,255,0,0,255,12;Bangkok
0.235812,0.870880,0.706524,255,0,0,255,4;Abu Dhabi
0.652972,0.116827,0.782450,255,0,0,255,1;Arizona
0.412703,0.120769,0.813947,255,0,0,255,1;Washington D.C.
0.484568,0.128022,0.833758,255,0,0,255,1;Chicago
0.627496,0.948945,0.679423,255,0,0,255,2;Hanoi
0.850164,0.709560,0.211088,255,0,0,255,9;Canberra
0.666355,0.894239,0.758653,255,0,0,255,5534;Hubei
0.626136,0.973324,0.600268,255,0,0,255,1;Phnom Penh
0.413259,0.159943,0.856142,255,0,0,255,3;Ottawa
0.689388,0.922136,0.689561,255,0,0,255,12;Hong Kong
0.670485,0.843575,0.820766,255,0,0,255,2170;Beijing
0.274465,0.604894,0.933741,255,0,0,255,1;Helsinki
0.171305,0.513497,0.876533,255,0,0,255,6;Paris
0.204007,0.570455,0.896767,255,0,0,255,5;Berlin
0.402772,0.928028,0.739455,255,0,0,255,1;New Delhi
0.692856,0.148558,0.798823,255,0,0,255,1;California
0.136604,0.580449,0.833873,255,0,0,255,2;Rome
0.810012,0.762361,0.791649,255,0,0,255,13;Tokyo
0.623882,0.916910,0.746657,255,0,0,255,201;Chongqing
0.696110,0.853791,0.793893,255,0,0,255,157;Shandong
0.594216,0.943251,0.711309,255,0,0,255,75;Yunnan
0.649587,0.870241,0.800908,255,0,0,255,39;Shanxi
0.670339,0.849247,0.814660,255,0,0,255,65;Hebei
0.705979,0.763641,0.871572,255,0,0,255,44;Heilongjiang
0.593245,0.920603,0.753769,255,0,0,255,676;Sichuan
0.692503,0.877808,0.764960,255,0,0,255,200;Anhui
0.665451,0.909300,0.734733,255,0,0,255,276;Hunan
0.718655,0.878721,0.742405,255,0,0,255,423;Zhejiang
0.668600,0.878682,0.779596,255,0,0,255,277;Henan
0.681115,0.922614,0.696456,255,0,0,255,337;Guangdong
0.601189,0.988881,0.527490,255,0,0,255,8;Kuala Lumpur
0.723190,0.864655,0.759255,255,0,0,255,106;Shanghai
0.714848,0.795909,0.840996,255,0,0,255,14;Jilin
0.648711,0.931887,0.703368,255,0,0,255,79;Guangxi
0.658396,0.944828,0.664433,255,0,0,255,45;Hainan
0.631695,0.882470,0.793893,255,0,0,255,63;Shaanxi
0.708908,0.895509,0.723450,255,0,0,255,101;Fujian
0.650026,0.831885,0.842555,255,0,0,255,18;Inner Mongolia
0.693529,0.896794,0.734736,255,0,0,255,160;Jiangxi
0.463887,0.941188,0.732485,255,0,0,255,1;Kathmandu
0.685005,0.924448,0.688725,255,0,0,255,7;Macau
0.709668,0.863155,0.772320,255,0,0,255,129;Jiangsu
0.630253,0.926037,0.726995,255,0,0,255,12;Guizhou
0.681498,0.960760,0.431021,255,0,0,255,4;Ninxia Hui
0.749069,0.914849,0.625955,255,0,0,255,1;Manila
0.677293,0.845005,0.815498,255,0,0,255,29;Tianjin
0.619394,0.985391,0.511842,255,0,0,255,13;Singapore
0.738181,0.816778,0.804831,255,0,0,255,5;Seoul
0.581918,0.885395,0.807831,255,0,0,255,27;Gansu
0.705508,0.816503,0.828013,255,0,0,255,41;Liaoning
0.481568,0.872529,0.832990,255,0,0,255,14;Xinjiang
0.542259,0.905331,0.789691,255,0,0,255,8;Qinghai
0.412564,0.988580,0.560372,255,0,0,255,1;Colombo
0.610067,0.883849,0.800908,255,0,0,255,13;Ningxia
0.737131,0.885995,0.711606,255,0,0,255,8;Taipei
0.588447,0.977540,0.618879,255,0,0,255,12;Bangkok
0.235812,0.870880,0.706524,255,0,0,255,4;Abu Dhabi
0.652972,0.116827,0.782450,255,0,0,255,1;Arizona
0.412703,0.120769,0.813947,255,0,0,255,2;Washington D.C.
0.484568,0.128022,0.833758,255,0,0,255,1;Chicago
0.627496,0.948945,0.679423,255,0,0,255,5;Hanoi
0.850164,0.709560,0.211088,255,0,0,255,9;Canberra
0.666355,0.894239,0.758653,255,0,0,255,6881;Hubei
0.626136,0.973324,0.600268,255,0,0,255,1;Phnom Penh
0.413259,0.159943,0.856142,255,0,0,255,4;Ottawa
0.689388,0.922136,0.689561,255,0,0,255,13;Hong Kong
0.670485,0.843575,0.820766,255,0,0,255,2188;Beijing
0.274465,0.604894,0.933741,255,0,0,255,1;Helsinki
0.171305,0.513497,0.876533,255,0,0,255,6;Paris
0.204007,0.570455,0.896767,255,0,0,255,7;Berlin
0.402772,0.928028,0.739455,255,0,0,255,1;New Delhi
0.692856,0.148558,0.798823,255,0,0,255,2;California
0.136604,0.580449,0.833873,255,0,0,255,2;Rome
0.120120,0.475410,0.824171,255,0,0,255,1;Madrid
0.810012,0.762361,0.791649,255,0,0,255,16;Tokyo
0.623882,0.916910,0.746657,255,0,0,255,233;Chongqing
0.696110,0.853791,0.793893,255,0,0,255,183;Shandong
0.594216,0.943251,0.711309,255,0,0,255,82;Yunnan
0.649587,0.870241,0.800908,255,0,0,255,47;Shanxi
0.670339,0.849247,0.814660,255,0,0,255,82;Hebei
0.705979,0.763641,0.871572,255,0,0,255,59;Heilongjiang
0.593245,0.920603,0.753769,255,0,0,255,712;Sichuan
0.692503,0.877808,0.764960,255,0,0,255,237;Anhui
0.665451,0.909300,0.734733,255,0,0,255,331;Hunan
0.718655,0.878721,0.742405,255,0,0,255,532;Zhejiang
0.668600,0.878682,0.779596,255,0,0,255,351;Henan
0.681115,0.922614,0.696456,255,0,0,255,419;Guangdong
0.601189,0.988881,0.527490,255,0,0,255,8;Kuala Lumpur
0.723190,0.864655,0.759255,255,0,0,255,129;Shanghai
0.714848,0.795909,0.840996,255,0,0,255,14;Jilin
0.648711,0.931887,0.703368,255,0,0,255,88;Guangxi
0.658396,0.944828,0.664433,255,0,0,255,48;Hainan
0.631695,0.882470,0.793893,255,0,0,255,87;Shaanxi
0.708908,0.895509,0.723450,255,0,0,255,120;Fujian
0.650026,0.831885,0.842555,255,0,0,255,20;Inner Mongolia
0.693529,0.896794,0.734736,255,0,0,255,238;Jiangxi
0.463887,0.941188,0.732485,255,0,0,255,1;Kathmandu
0.685005,0.924448,0.688725,255,0,0,255,7;Macau
0.709668,0.863155,0.772320,255,0,0,255,168;Jiangsu
0.630253,0.926037,0.726995,255,0,0,255,29;Guizhou
0.681498,0.960760,0.431021,255,0,0,255,4;Ninxia Hui
0.749069,0.914849,0.625955,255,0,0,255,1;Manila
0.677293,0.845005,0.815498,255,0,0,255,30;Tianjin
0.274682,0.671816,0.911960,255,0,0,255,2;Moscow
0.619394,0.985391,0.511842,255,0,0,255,16;Singapore
0.738181,0.816778,0.804831,255,0,0,255,10;Seoul
0.581918,0.885395,0.807831,255,0,0,255,33;Gansu
0.705508,0.816503,0.828013,255,0,0,255,60;Liaoning
0.481568,0.872529,0.832990,255,0,0,255,17;Xinjiang
0.542259,0.905331,0.789691,255,0,0,255,8;Qinghai
0.412564,0.988580,0.560372,255,0,0,255,1;Colombo
