0.44387580590926123,0.5226225348162616,0.45118298955095926,255,200,0,255,PIK3R1;seed
0.42481851362094464,0.4544479579866661,0.9142008624570519,255,200,0,255,C3;seed
0.5085844088181602,0.45782982638498915,0.34190121303744003,255,200,0,255,NCF1;seed
0.8306814462644729,0.7412556447974161,0.2814635643877469,255,200,0,255,RAG1;seed
0.6641580718887323,0.7214277289734983,0.7614024344568896,255,200,0,255,NLRP3;seed
0.44505956287582504,0.22228437002284812,0.45278349861575184,255,200,0,255,STIM1;seed
0.47150432450090024,0.4183204276899283,0.3088058572845723,255,200,0,255,NCF2;seed
0.4990251187343257,0.4333824830669528,0.266384857893033,255,200,0,255,CYBA;seed
0.4899696430038278,0.4160432669435812,0.2706750012393415,255,200,0,255,NCF4;seed
0.47767598218241675,0.4335491488715519,0.26734355206973925,255,200,0,255,CYBB;seed
0.4026448372626705,0.6061000293934304,0.5908198457364311,255,200,0,255,MALT1;seed
0.40302842623515056,0.40515952313336334,0.5285469274877966,255,200,0,255,STAT3;seed
0.45231933539702396,0.47695701109552696,0.8001980974747653,255,200,0,255,ITGB2;seed
0.5368333068273722,0.5674146905086377,0.5395487881073394,255,200,0,255,RIPK1;seed
0.49803456028400994,0.588468658769876,0.6293015320468096,255,200,0,255,IKBKG;seed
0.4920656466731139,0.6600451376376777,0.4695845269519261,255,200,0,255,WAS;seed
0.6345650854620971,0.6737870535440695,0.699321570598565,255,200,0,255,NLRC4;seed
0.6268566978192429,0.703511325583149,0.76665431302987,255,200,0,255,MEFV;seed
0.40597004843327517,0.44097173595902933,0.9953394040306938,255,200,0,255,CFB;seed
0.58374854040248,0.8119248393190035,0.49910838485083064,255,200,0,255,DCLRE1C;seed
0.8843790893606055,0.7841718730276115,0.24010535962876356,255,200,0,255,RAG2;seed
0.6344104546497848,0.7233978852949647,0.45376460830742393,255,200,0,255,LIG4;seed
0.4587440423555845,0.6105873649470731,0.422079674231431,255,200,0,255,BTK;seed
0.5044777167406992,0.5679948413113202,0.5880435466665466,255,200,0,255,TNFAIP3;seed
0.5955737346422368,0.5330959959776037,0.4665921738218311,255,200,0,255,PTEN;seed
0.42514198624119776,0.1336816130866632,0.4526281392014152,255,200,0,255,ORAI1;seed
0.4461349526831334,0.5773117144164428,0.39200647948628864,255,200,0,255,PLCG2;seed
0.5816844638605365,0.5320082303089098,0.4857635085560218,255,200,0,255,XIAP;seed
0.3963332063205053,0.6616879586602135,0.6460467738206217,255,200,0,255,CARD9;seed
0.4520651832441583,0.7035735714664662,0.4602121443716181,255,200,0,255,ARPC1B;seed
0.5787600607028415,0.5150156696080178,0.45803220400650174,255,200,0,255,ITCH;seed
0.3334083806384193,0.4005994049730205,0.4853373464761235,255,200,0,255,STAT1;seed
0.3449356712118057,0.32181755676891044,0.6137333803486255,255,200,0,255,IL2RA;seed
0.5182316206813029,0.5401012001603241,0.5441933338702634,255,200,0,255,ZAP70;seed
0.4044374821193908,0.47988600220576866,0.43864330116863565,255,200,0,255,CTLA4;seed
0.6068623355170986,0.3058410734010019,0.3919163096559222,255,200,0,255,FOXP3;seed
0.904025737720781,0.7663350632339208,0.5288373621243788,255,200,0,255,TTC37;seed
0.12575968565310747,0.3849123310321437,0.4520203731146891,255,200,0,255,DNMT3B;seed
0.642070628632127,0.4942610263296009,0.41559801655292855,255,200,0,255,AICDA;seed
0.4859649732894202,0.6141192121844246,0.27045366296407025,255,200,0,255,SH2D1A;seed
0.21129444172392187,0.5356318221810363,0.6588682389651738,255,200,0,255,ADA;seed
0.6021137922966152,0.4196533676259496,0.47718388277977397,255,200,0,255,ADAM17;seed
0.5724597336975034,0.3275035980783219,0.41233084637852735,255,200,0,255,LRBA;seed
0.49157945911919654,0.6581898519610514,0.5514013326007129,255,200,0,255,TRIM22;seed
0.5172958863348947,0.5833576169357715,0.5285649243990356,7,195,237,255,TAB2;candidate
0.6457186374909468,0.5965876786496558,0.42725614440005644,7,195,237,255,UBE2L3;candidate
0.4759365719075709,0.5699262554344072,0.3583210406292082,7,195,237,255,CD244;candidate
0.6168548765979506,0.38291143482307033,0.40016852678925413,7,195,237,255,NOTCH1;candidate
0.5744285863570961,0.6049314513028581,0.6176561121498767,7,195,237,255,NOD2;candidate
0.44824998847166847,0.47121887324638034,0.4729586324192079,7,195,237,255,STAT5A;candidate
0.5478329977541372,0.4820774231260428,0.5365605875478588,7,195,237,255,TNF;candidate
0.8382009179189165,0.7118759751313021,0.514839596393309,7,195,237,255,FERMT1;candidate
0.5142464657594548,0.3396157215594441,0.45081139923020414,7,195,237,255,TMEM17;candidate
0.4783315333075374,0.49920229030271523,0.5880975690125124,7,195,237,255,PTK2B;candidate
0.20487158770606012,0.39237089195492914,0.46523452649219466,7,195,237,255,RTF1;candidate
0.5769806091961651,0.6498279646974299,0.7057747922511464,7,195,237,255,ATG16L1;candidate
0.581298052715719,0.40849881961938167,0.4416887810705895,7,195,237,255,FEN1;candidate
0.45923486765373017,0.6523685436777639,0.6337464622189666,7,195,237,255,CCHCR1;candidate
0.755460251773814,0.6791940334659147,0.34171445388915367,7,195,237,255,RBX1;candidate
0.5034217702331146,0.8256901951402988,0.5514125858438389,7,195,237,255,AKAP11;candidate
0.14992697332418325,0.4257224399135821,0.46131204634003287,7,195,237,255,DNMT3A;candidate
0.45735212854236984,0.6067448021955635,0.4691816644384389,7,195,237,255,LRRK2;candidate
0.2852345767826791,0.5326804318287762,0.6339001845093757,7,195,237,255,ATXN2;candidate
0.23667071695807773,0.5551708543134118,0.6194703169045075,7,195,237,255,ATXN2L;candidate
