
884,187,255,96,255
1017,187,255,96,255
1327,187,255,96,255
2886,187,255,96,255
4002,187,255,96,255
4012,187,255,96,255
4161,187,255,96,255
4333,187,255,96,255
4431,187,255,96,255
5003,187,255,96,255
5336,187,255,96,255
5340,187,255,96,255
5476,187,255,96,255
6130,187,255,96,255
6258,187,255,96,255
6755,187,255,96,255
6826,187,255,96,255
6843,187,255,96,255
6950,187,255,96,255
7097,187,255,96,255
7981,187,255,96,255
8089,187,255,96,255
8325,187,255,96,255
8368,187,255,96,255
8489,187,255,96,255
8803,187,255,96,255
8811,187,255,96,255
9149,187,255,96,255
9182,187,255,96,255
10011,187,255,96,255
10115,187,255,96,255
11210,187,255,96,255
11461,187,255,96,255
13190,187,255,96,255
13219,187,255,96,255
13492,187,255,96,255
14210,187,255,96,255
14573,187,255,96,255
15162,187,255,96,255
15346,187,255,96,255
15584,187,255,96,255
15869,187,255,96,255
